song_id,quadrant,valence,arousal,mood_all,mood_all_weights,genre,genre_weights,theme,theme_weights,style,style_weights,top_k_mood,top_k_genre,top_k_theme,top_k_style,theme_label
MT0000379144,Q3,0.2425,0.44375,"Anguished/Distraught,Bittersweet,Dramatic,Earnest,Earthy,Greasy,Gritty,Innocent,Intimate,Lazy,Naive,Passionate,Reflective,Sentimental,Street-Smart,Urgent,Weary,Yearning","4,4,5,5,5,5,5,5,5,6,6,7,7,7,8,8,8,9",R&B,9,"Feeling Blue,Heartache,Late Night,Reflection","9,9,9,9",New Orleans R&B,9,yearning,r&b,"feeling blue,heartache,late night,reflection",new orleans r&b,T5
MT0000380971,Q3,0.20875,0.42125,"Calm/Peaceful,Dreamy,Lively,Lonely,Yearning","5,5,5,5,5",Pop/Rock,5,"Awareness,Biographical,In Love,Loneliness,Passion,Relationships,Yearning","5,5,5,5,5,5,5",Singer/Songwriter,5,"calm/peaceful,dreamy,lively,lonely,yearning",pop/rock,"awareness,biographical,in love,loneliness,passion,relationships,yearning",singer/songwriter,"T1,T6"
MT0000381928,Q3,0.19,0.42125,"Lonely,Negative,Restrained,Sad,Yearning","5,5,5,5,5","Electronic,Pop/Rock","5,5","Adventure,Biographical,In Love,Poetry,Relationships","5,5,5,5,5","Club/Dance,Contemporary Pop/Rock","5,5","lonely,negative,restrained,sad,yearning","electronic,pop/rock","adventure,biographical,in love,poetry,relationships","club/dance,contemporary pop/rock","T1,T6"
MT0000401186,Q1,0.5875,0.58,"Boisterous,Brassy,Bright,Carefree,Celebratory,Cheerful,Confident,Energetic,Exuberant,Fiery,Freewheeling,Fun,Gutsy,Lively,Passionate,Playful,Rousing,Spicy,Warm","5,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9",Latin,9,"Freedom,Motivation,Partying","9,9,9","Salsa,Son,Tropical","7,8,9","spicy,warm",latin,"freedom,motivation,partying",tropical,T2
MT0000401600,Q1,0.7931250000000001,0.57875,"Cheerful,Lively,Marching,Positive,Strong","5,5,5,5,5","Electronic,R&B","5,5","In Love,Passion,Relationships","5,5,5","Club/Dance,Funk","5,5","cheerful,lively,marching,positive,strong","electronic,r&b","in love,passion,relationships","club/dance,funk","T1,T6"
MT0000408441,Q3,0.25625,0.44375,"Brash,Bravado,Confrontational,Earnest,Greasy,Gritty,Lazy,Organic,Plaintive,Reflective,Street-Smart,Swaggering,Uncompromising","4,4,4,5,5,6,7,7,7,7,8,8,9",Blues,9,"Feeling Blue,Hanging Out,Introspection,Jealousy","9,9,9,9","Acoustic Texas Blues,Country Blues,Regional Blues,Texas Blues","4,9,9,9",uncompromising,blues,"feeling blue,hanging out,introspection,jealousy","country blues,regional blues,texas blues","T2,T5"
MT0000409922,Q4,0.77625,0.370625,"Agreeable,Calm/Peaceful,Dreamy,Intimate,Meditative","5,5,5,5,5",Pop/Rock,7,"Happiness,In Love,Relationships","5,5,5","Alternative/Indie Rock,Grunge","7,7","agreeable,calm/peaceful,dreamy,intimate,meditative",pop/rock,"happiness,in love,relationships","alternative/indie rock,grunge","T1,T6"
MT0000413173,Q3,0.28625,0.31125,"Bitter,Bleak,Brooding,Dramatic,Gloomy,Melancholy,Plaintive,Reflective,Sad,Weary,Yearning","5,5,6,6,6,6,7,8,8,9,9","Jazz,Vocal","7,9","Feeling Blue,Introspection,Regret","6,7,9","American Popular Song,Tin Pan Alley Pop,Traditional Pop,Vocal Jazz","6,6,7,9","weary,yearning",vocal,regret,vocal jazz,T5
MT0000414517,Q1,0.665,0.70375,"Bright,Cathartic,Dramatic,Earnest,Fiery,Freewheeling,Passionate,Romantic,Sexy,Spicy,Theatrical,Urgent,Yearning","6,7,7,7,7,7,7,7,8,8,9,9,9","International,Jazz","5,9","Dinner Ambiance,In Love,Romantic Evening,Seduction","7,8,9,9","Contemporary Flamenco,Flamenco,Spanish Folk,Western European Traditions,World Fusion,Worldbeat","5,7,7,8,9,9","theatrical,urgent,yearning",jazz,"romantic evening,seduction","world fusion,worldbeat",T6
MT0000419956,Q2,0.2475,0.5875,"Angry,Angst-Ridden,Confrontational,Energetic,Gritty,Gutsy,Harsh,Hostile,Intense,Nihilistic,Outraged,Raucous,Rebellious,Rousing,Rowdy,Tense/Anxious,Trashy,Urgent,Visceral,Volatile","9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"Cool & Cocky,Empowering,Freedom,Guys Night Out,Revolutionary","7,7,9,9,9","British Punk,Oi!,Punk,Punk/New Wave","8,9,9,9","angry,angst-ridden,confrontational,energetic,gritty,gutsy,harsh,hostile,intense,nihilistic,outraged,raucous,rebellious,rousing,rowdy,tense/anxious,trashy,urgent,visceral,volatile",pop/rock,"freedom,guys night out,revolutionary","oi!,punk,punk/new wave",T2
MT0000421504,Q4,0.68375,0.2775,"Confident,Dramatic,Elegant,Organic,Passionate,Poignant,Precious,Refined,Reflective,Reverent,Sentimental,Tender,Theatrical,Warm,Wistful","4,5,5,5,5,6,6,7,7,8,8,8,9,9,9","Pop/Rock,Vocal","5,9","Affection/Fondness,Comfort,Relaxation,Reminiscing","9,9,9,9","Celebrity,Traditional Pop,Vocal Pop","5,7,9","theatrical,warm,wistful",vocal,"affection/fondness,comfort,relaxation,reminiscing",vocal pop,"T1,T4,T6"
MT0000425270,Q2,0.395625,0.5462499999999999,"Aggressive,Brash,Bravado,Confident,Confrontational,Energetic,Fiery,Hostile,Intense,Malevolent,Menacing,Ominous,Provocative,Rebellious,Reckless,Street-Smart,Tense/Anxious,Thuggish,Unsettling,Volatile","7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9",Rap,9,"Politics/Society,Revolutionary","7,8","Gangsta Rap,Hardcore Rap,West Coast Rap","7,9,9","unsettling,volatile",rap,revolutionary,"hardcore rap,west coast rap",T2
MT0000426771,Q3,0.36875,0.47,"Aggressive,Bleak,Cerebral,Detached,Fiery,Harsh,Intense,Manic,Menacing,Ominous,Visceral,Volatile","5,6,6,6,6,7,7,7,8,8,9,9","Electronic,Pop/Rock","5,9","Late Night,Maverick,Solitude,The Creative Side","9,9,9,9","Alternative/Indie Rock,Dark Ambient,Experimental,Experimental Rock,Industrial","5,6,7,9,9","visceral,volatile",pop/rock,"late night,maverick,solitude,the creative side","experimental rock,industrial","T2,T5"
MT0000426880,Q1,0.56625,0.58875,"Celebratory,Detached,Dramatic,Energetic,Exciting,Gutsy,Joyous,Lively,Precious,Rousing,Slick,Stylish,Sugary,Theatrical,Urgent","6,7,7,7,7,7,8,8,8,8,8,8,8,8,8",Electronic,8,"Club,Empowering,Freedom,Girls Night Out,In Love,Partying,Road Trip,TGIF","8,8,8,8,8,8,8,8","Club/Dance,Euro-Dance","7,8","joyous,lively,precious,rousing,slick,stylish,sugary,theatrical,urgent",electronic,"club,empowering,freedom,girls night out,in love,partying,road trip,tgif",euro-dance,"T2,T6"
MT0000441552,Q2,0.32875,0.58125,"Aggressive,Bitter,Cathartic,Confrontational,Dramatic,Fierce,Gutsy,Outraged,Passionate,Provocative,Rousing,Searching,Tense/Anxious,Urgent,Visceral,Wry","5,5,6,6,7,7,7,7,7,8,8,8,9,9,9,9",Pop/Rock,9,"Cool & Cocky,Empowering,TGIF","7,8,8","Alternative/Indie Rock,Emo,Indie Rock","7,9,9","tense/anxious,urgent,visceral,wry",pop/rock,"empowering,tgif","emo,indie rock",T2
MT0000446304,Q3,0.4425,0.34375,"Amiable/Good-Natured,Earnest,Happy,Indulgent,Innocent,Laid-Back/Mellow,Lazy,Light,Literate,Naive,Passionate,Plaintive,Playful,Precious,Refined,Reflective,Relaxed,Reserved,Searching,Self-Conscious,Slick,Stylish,Sugary,Sweet,Warm,Whimsical,Wry","5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9","Jazz,Vocal","5,9","Affirmation,Comfort,Introspection,Playful,Reflection,Relaxation,Sports,The Great Outdoors","5,7,7,7,7,9,9,9","Contemporary Jazz,Jazz-Funk,Vocal Pop","5,5,9","searching,self-conscious,slick,stylish,sugary,sweet,warm,whimsical,wry",vocal,"relaxation,sports,the great outdoors",vocal pop,"T2,T4"
MT0000460480,Q4,0.703125,0.40625,"Amiable/Good-Natured,Cheerful,Confident,Elaborate,Fun,Innocent,Playful,Reflective,Romantic,Sentimental,Slick,Smooth,Sophisticated,Stylish,Warm,Wistful","8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8","Jazz,Vocal","8,8","Affection/Fondness,Heartache,In Love,Introspection,New Love,Playful,Reflection","8,8,8,8,8,8,8","Traditional Pop,Vocal Jazz,Vocal Pop","8,8,8","amiable/good-natured,cheerful,confident,elaborate,fun,innocent,playful,reflective,romantic,sentimental,slick,smooth,sophisticated,stylish,warm,wistful","jazz,vocal","affection/fondness,heartache,in love,introspection,new love,playful,reflection","traditional pop,vocal jazz,vocal pop","T2,T5,T6"
MT0000463371,Q2,0.305,0.54875,"Angry,Bleak,Harsh,Hostile,Intense,Malevolent,Menacing,Nihilistic,Volatile","7,8,8,8,8,8,8,8,8",Pop/Rock,8,"Awareness,Biographical,Crime,Death,Destiny,Guys Night Out,Late Night,Pain,Passion,Scary Music,Violence,World View","5,5,5,5,5,5,5,5,5,5,5,5","Heavy Metal,Speed/Thrash Metal","8,8","bleak,harsh,hostile,intense,malevolent,menacing,nihilistic,volatile",pop/rock,"awareness,biographical,crime,death,destiny,guys night out,late night,pain,passion,scary music,violence,world view","heavy metal,speed/thrash metal","T1,T2,T3,T5"
MT0000475876,Q1,0.765,0.595,"Bright,Celebratory,Cheerful,Freewheeling,Fun,Light,Lively,Playful,Sexy,Slick,Stylish,Summery","5,7,9,9,9,9,9,9,9,9,9,9","Electronic,Latin,Pop/Rock,R&B","6,9,9,9","Club,Girls Night Out,Partying,TGIF","9,9,9,9","Club/Dance,Dance-Pop,Latin Dance,Latin Pop,Urban","6,6,9,9,9","cheerful,freewheeling,fun,light,lively,playful,sexy,slick,stylish,summery","latin,pop/rock,r&b","club,girls night out,partying,tgif","latin dance,latin pop,urban",T2
MT0000481304,Q4,0.555,0.36,"Boisterous,Bright,Confident,Earnest,Energetic,Hypnotic,Lively,Restrained,Reverent,Slick,Smooth,Spiritual,Summery","6,6,6,6,6,6,6,7,7,7,7,7,8",Reggae,9,"Affirmation,Awareness,Empowering,In Love,Music,Religion,Summer,Sun","5,5,5,5,5,5,6,6","Contemporary Reggae,Reggae-Pop","9,9",summery,reggae,"summer,sun","contemporary reggae,reggae-pop","T0,T2"
MT0000483039,Q4,0.68375,0.255,"Autumnal,Bittersweet,Dramatic,Earnest,Earthy,Intimate,Lush,Melancholy,Passionate,Plaintive,Reflective,Reverent,Sentimental,Smooth,Soft/Quiet,Sophisticated,Theatrical,Warm,Weary,Yearning","4,5,5,5,5,6,6,6,6,6,7,7,8,8,8,9,9,9,9,9",Country,9,"Introspection,Reflection,Reminiscing","9,9,9","Country-Pop,Nashville Sound/Countrypolitan","6,9","sophisticated,theatrical,warm,weary,yearning",country,"introspection,reflection,reminiscing",nashville sound/countrypolitan,"T1,T5"
MT0000487439,Q3,0.22625,0.47375,"Anguished/Distraught,Bitter,Cathartic,Confrontational,Earnest,Intimate,Plaintive,Reflective,Swaggering","4,5,6,6,7,7,8,9,9",Blues,8,"Freedom,Heartache,Introspection","9,9,9","Chicago Blues,Delta Blues,Regional Blues","6,8,8","reflective,swaggering",blues,"freedom,heartache,introspection","delta blues,regional blues","T2,T5"
MT0000497520,Q1,0.7775000000000001,0.54,"Carefree,Lively,Positive,Strong","5,5,5,5",Pop/Rock,5,"Animals,Awareness,Country Life,Motivation,Passion,Travel","5,5,5,5,5,5","Adult Contemporary,Contemporary Pop/Rock,Country-Rock,Rock & Roll,Sunshine Pop","5,5,7,9,9","carefree,lively,positive,strong",pop/rock,"animals,awareness,country life,motivation,passion,travel","rock & roll,sunshine pop","T0,T1,T2"
MT0000518591,Q1,0.765,0.6375,"Agreeable,Lively,Marching,Optimistic,Pulsing,Sentimental,Swinging","5,5,5,5,5,5,5","Electronic,R&B","5,5","Celebration,In Love","7,7","Club/Dance,Disco","5,5","agreeable,lively,marching,optimistic,pulsing,sentimental,swinging","electronic,r&b","celebration,in love","club/dance,disco","T4,T6"
MT0000522450,Q1,0.6975,0.5725,"Happy,Humorous,Rousing,Uncompromising","7,7,7,7",Country,7,Celebration,7,"Contemporary Country,Country-Pop","7,7","happy,humorous,rousing,uncompromising",country,celebration,"contemporary country,country-pop",T4
MT0000522789,Q4,0.59,0.36,"Atmospheric,Calm/Peaceful,Circular,Earthy,Exuberant,Gentle,Hypnotic,Organic,Passionate,Reverent,Soothing,Spiritual","3,4,5,5,5,5,5,5,6,8,8,8","R&B,Religious","9,9",Sunday Afternoon,5,"Black Gospel,Early R&B,Gospel,Soul,Traditional Gospel","4,9,9,9,9","reverent,soothing,spiritual","r&b,religious",sunday afternoon,"early r&b,gospel,soul,traditional gospel",T4
MT0000522938,Q2,0.1912499999999999,0.58125,"Aggressive,Angry,Cathartic,Confrontational,Dramatic,Fiery,Hostile,Nihilistic,Outraged,Volatile","4,4,5,6,6,7,7,8,8,8",Pop/Rock,8,Guys Night Out,6,"Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Funk Metal,Heavy Metal,Post-Hardcore,Rap-Metal","7,8,8,8,8,8,8","nihilistic,outraged,volatile",pop/rock,guys night out,"alternative pop/rock,alternative/indie rock,funk metal,heavy metal,post-hardcore,rap-metal",T2
MT0000526867,Q3,0.336875,0.380625,"Atmospheric,Bittersweet,Brooding,Cathartic,Detached,Eerie,Gloomy,Intimate,Melancholy,Nocturnal,Passionate,Poignant,Reflective,Sad,Somber,Stylish,Wistful","4,4,5,5,6,6,6,6,6,7,7,7,7,8,8,8,9",Pop/Rock,7,"Feeling Blue,Introspection,Late Night,Rainy Day,Reflection","4,5,7,7,7","Alternative Pop/Rock,Alternative/Indie Rock,College Rock,Goth Rock,Post-Punk","5,6,6,7,7",wistful,pop/rock,"late night,rainy day,reflection","goth rock,post-punk","T4,T5"
MT0000534539,Q3,0.26875,0.4599999999999999,"Angst-Ridden,Anguished/Distraught,Bleak,Brooding,Cathartic,Delicate,Dramatic,Gentle,Gloomy,Indulgent,Passionate,Plaintive,Poignant,Refined,Sad,Searching,Stylish,Theatrical,Yearning","6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9","Pop/Rock,Stage & Screen,Vocal","7,8,9","Affirmation,Empowering,Solitude","8,8,9","Early Pop/Rock,Film Music,Soundtracks,Vocal Pop","7,7,8,9","plaintive,poignant,refined,sad,searching,stylish,theatrical,yearning",vocal,solitude,vocal pop,T5
MT0000540286,Q1,0.871875,0.666875,"Amiable/Good-Natured,Boisterous,Carefree,Cheerful,Confident,Earthy,Energetic,Exciting,Exuberant,Freewheeling,Fun,Gleeful,Happy,Joyous,Lively,Playful,Rambunctious,Rousing","6,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9",Jazz,9,"Celebration,Hanging Out,Picnic,Summer,TGIF","7,7,7,8,9","Dixieland,Early Jazz,New Orleans Jazz,Vocal Jazz","7,7,8,9","happy,joyous,lively,playful,rambunctious,rousing",jazz,tgif,vocal jazz,T2
MT0000546446,Q1,0.80625,0.5625,"Cheerful,Lively,Optimistic,Positive,Strong","5,5,5,5,5","Electronic,Pop/Rock","5,5","Friendship,In Love,Jealousy,Relationships,Teenagers","5,5,5,5,5","Adult Contemporary,Club/Dance","5,5","cheerful,lively,optimistic,positive,strong","electronic,pop/rock","friendship,in love,jealousy,relationships,teenagers","adult contemporary,club/dance","T1,T5,T6"
MT0000547065,Q3,0.29125,0.38625,"Acerbic,Bitter,Cerebral,Earnest,Intimate,Laid-Back/Mellow,Light,Literate,Melancholy,Poignant,Reflective,Relaxed,Sad,Searching,Sentimental,Snide,Soothing","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",Pop/Rock,9,"Breakup,Feeling Blue,Heartache,Introspection,Reflection,Solitude,The Creative Side","7,7,7,7,7,7,7","Alternative Singer/Songwriter,Alternative/Indie Rock,Indie Pop,Indie Rock,Lo-Fi","8,9,9,9,9","acerbic,bitter,cerebral,earnest,intimate,laid-back/mellow,light,literate,melancholy,poignant,reflective,relaxed,sad,searching,sentimental,snide,soothing",pop/rock,"breakup,feeling blue,heartache,introspection,reflection,solitude,the creative side","alternative/indie rock,indie pop,indie rock,lo-fi","T2,T5"
MT0000550961,Q4,0.6599999999999999,0.38125,"Agreeable,Lonely,Nostalgic,Pure,Sad,Serious,Yearning","5,5,5,5,5,5,5","Country,Easy Listening,Folk,International,Pop/Rock","5,5,5,5,5","Biographical,Forgiveness,Friendship,Goodbyes,Lifecycle,Loneliness,Relationships,Reminiscing,Separation,Yearning","5,5,5,5,5,5,5,5,5,5","Adult Contemporary,Central European Traditions,German,Singer/Songwriter","5,5,5,5","agreeable,lonely,nostalgic,pure,sad,serious,yearning","country,easy listening,folk,international,pop/rock","biographical,forgiveness,friendship,goodbyes,lifecycle,loneliness,relationships,reminiscing,separation,yearning","adult contemporary,central european traditions,german,singer/songwriter","T0,T1,T3"
MT0000553622,Q3,0.28125,0.25625,"Dramatic,Dreamy,Elegant,Enigmatic,Gentle,Intimate,Laid-Back/Mellow,Lazy,Literate,Melancholy,Plaintive,Poignant,Refined,Reflective,Sentimental,Smooth,Soft/Quiet,Somber,Sophisticated,Weary,Whimsical,Wistful","4,4,4,4,5,5,6,6,6,6,7,7,7,7,7,8,8,8,9,9,9,9","Country,Pop/Rock","5,9","Feeling Blue,Heartache,Reflection","9,9,9","Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Country,Contemporary Singer/Songwriter,Early Pop/Rock","5,5,7,9,9","sophisticated,weary,whimsical,wistful",pop/rock,"feeling blue,heartache,reflection","contemporary singer/songwriter,early pop/rock",T5
MT0000556349,Q1,0.8162499999999999,0.56125,"Amiable/Good-Natured,Bittersweet,Fun,Humorous,Intimate,Ironic,Playful,Street-Smart,Warm,Witty","8,8,8,8,9,9,9,9,9,9",Jazz,9,Affection/Fondness,9,"Big Band,Swing","9,9","intimate,ironic,playful,street-smart,warm,witty",jazz,affection/fondness,"big band,swing",T6
MT0000562195,Q2,0.35,0.58875,"Angst-Ridden,Brooding,Dramatic,Indulgent,Reflective,Rousing,Stylish,Tense/Anxious,Theatrical,Urgent,Wistful","5,5,6,6,6,6,6,7,7,8,9","Pop/Rock,Stage & Screen","3,8","Heartache,Introspection,Playful,Regret","5,6,7,7","Adult Alternative Pop/Rock,Alternative Metal,Alternative/Indie Rock,Film Music,Heavy Metal,Soundtracks","2,3,3,3,8,8",wistful,stage & screen,"playful,regret","heavy metal,soundtracks","T2,T5"
MT0000567692,Q3,0.4724999999999999,0.36625,"Calm/Peaceful,Intimate,Lonely,Sad,Yearning","5,5,5,5,5",Pop/Rock,5,"Everyday Life,In Love,Pain,Relationships","5,5,5,5",Singer/Songwriter,5,"calm/peaceful,intimate,lonely,sad,yearning",pop/rock,"everyday life,in love,pain,relationships",singer/songwriter,"T1,T6"
MT0000576231,Q2,0.391875,0.57125,"Ambitious,Cold,Complex,Detached,Dramatic,Eerie,Hypnotic,Nocturnal,Ominous,Slick,Sophisticated,Spooky,Stylish,Trippy","7,7,7,7,7,7,7,7,7,7,7,7,7,7","Electronic,Pop/Rock","7,9","Background Music,Introspection,Late Night,Long Walk,Meditation,Reflection,The Creative Side","8,8,8,8,8,8,8","Electronica,Experimental","7,9","ambitious,cold,complex,detached,dramatic,eerie,hypnotic,nocturnal,ominous,slick,sophisticated,spooky,stylish,trippy",pop/rock,"background music,introspection,late night,long walk,meditation,reflection,the creative side",experimental,"T2,T4,T5"
MT0000581530,Q1,0.5875,0.58,"Boisterous,Brassy,Bright,Celebratory,Confident,Energetic,Exuberant,Fiery,Freewheeling,Fun,Gutsy,Lively,Passionate,Playful,Rousing,Spicy,Street-Smart,Warm","6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9",Latin,9,"Freedom,Motivation,Partying","9,9,9","Cuban Traditions,Mambo,Salsa,Son,Tropical","7,7,8,9,9","spicy,street-smart,warm",latin,"freedom,motivation,partying","son,tropical",T2
MT0000595581,Q4,0.760625,0.400625,"Amiable/Good-Natured,Bright,Confident,Elegant,Gentle,Intimate,Light,Passionate,Refined,Reflective,Relaxed,Romantic,Sentimental,Smooth,Sophisticated,Stylish,Sweet,Warm,Wistful","4,4,4,5,5,5,6,6,6,6,6,7,7,8,8,8,9,9,9","Holiday,Latin,Pop/Rock","6,7,9","Christmas Party,Family Gatherings,Holidays","9,9,9","Adult Contemporary,Christmas,Holidays,Latin Pop","6,7,7,9","sweet,warm,wistful",pop/rock,"christmas party,family gatherings,holidays",latin pop,T4
MT0000603561,Q3,0.2774999999999999,0.3831249999999999,"Anguished/Distraught,Bittersweet,Brooding,Elegant,Freewheeling,Gentle,Gloomy,Intimate,Melancholy,Nocturnal,Plaintive,Poignant,Restrained,Sad,Yearning","6,6,7,7,7,7,7,7,7,8,9,9,9,9,9","Blues,Jazz,Vocal","7,7,9","Feeling Blue,Heartache,Late Night,Regret","7,7,9,9","Classic Female Blues,Swing,Torch Songs,Traditional Pop,Vocal Jazz","6,7,7,8,9","plaintive,poignant,restrained,sad,yearning",vocal,"late night,regret",vocal jazz,T5
MT0000604234,Q2,0.309375,0.575,"Acerbic,Aggressive,Angry,Angst-Ridden,Anguished/Distraught,Bitter,Bleak,Confrontational,Cynical/Sarcastic,Fiery,Gutsy,Harsh,Hostile,Intense,Malevolent,Menacing,Nihilistic,Passionate,Plaintive,Provocative,Rebellious,Reckless,Tense/Anxious,Visceral,Volatile","2,3,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,8,8,8,8,9,9,9,9",Pop/Rock,9,"Anger/Hostility,Awareness,Death,Lying,Politics/Society,Protest,Violence,War,World View","5,5,5,5,5,5,5,5,5","Alternative Pop/Rock,Alternative/Indie Rock,Britpop,Hard Rock","3,6,9,9","reckless,tense/anxious,visceral,volatile",pop/rock,"anger/hostility,awareness,death,lying,politics/society,protest,violence,war,world view","britpop,hard rock","T0,T1,T3"
MT0000619767,Q3,0.28625,0.31125,"Autumnal,Bittersweet,Bleak,Brooding,Cold,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Nostalgic,Poignant,Pulsing,Reflective,Sad,Sentimental,Somber,Stylish,Weary","3,3,4,4,5,5,5,5,5,5,5,5,7,7,8,8,9,9",Pop/Rock,5,"Breakup,Feeling Blue,Heartache,Introspection,Loss/Grief,Reflection,Regret","5,5,5,5,6,8,9","Alternative Dance,Alternative Pop/Rock,Alternative/Indie Rock","5,5,5","stylish,weary",pop/rock,regret,"alternative dance,alternative pop/rock,alternative/indie rock",T5
MT0000620635,Q4,0.818125,0.4325,"Amiable/Good-Natured,Carefree,Cheerful,Confident,Gentle,Happy,Playful,Precious,Reflective,Relaxed,Sentimental,Sweet,Whimsical","7,7,8,8,8,8,8,8,9,9,9,9,9",Jazz,9,"Christmas Party,Holidays","9,9","Jazz-Pop,Mainstream Jazz,Swing","7,8,9","reflective,relaxed,sentimental,sweet,whimsical",jazz,"christmas party,holidays",swing,T4
MT0000621840,Q1,0.7931250000000001,0.6243749999999999,"Bravado,Celebratory,Energetic,Exciting,Lively,Playful,Rambunctious,Rollicking,Rousing","5,7,7,8,9,9,9,9,9",Pop/Rock,9,Partying,9,"Early Pop/Rock,Rock & Roll","9,9","lively,playful,rambunctious,rollicking,rousing",pop/rock,partying,"early pop/rock,rock & roll",T2
MT0000631491,Q4,0.75625,0.11875,"Bittersweet,Dramatic,Poignant,Refined,Relaxed,Sentimental,Smooth,Soft/Quiet,Soothing,Wistful,Yearning","9,9,9,9,9,9,9,9,9,9,9",R&B,9,"Feeling Blue,Romantic Evening,Slow Dance","9,9,9",Early R&B,9,"bittersweet,dramatic,poignant,refined,relaxed,sentimental,smooth,soft/quiet,soothing,wistful,yearning",r&b,"feeling blue,romantic evening,slow dance",early r&b,"T5,T6"
MT0000636335,Q4,0.56875,0.38625,"Atmospheric,Earnest,Earthy,Ethereal,Intimate,Organic,Reverent,Warm","5,5,5,5,7,7,7,8","Blues,International","3,9","Affirmation,Empowering,Feeling Blue,Freedom,Rainy Day,Solitude,The Creative Side","5,5,5,7,7,7,8","Acoustic Blues,African Folk,African Traditions,Folk-Blues,Modern Acoustic Blues","3,3,5,7,9",warm,international,the creative side,modern acoustic blues,T2
MT0000638634,Q4,0.7775,0.4525,"Confident,Dreamy,Intimate,Laid-Back/Mellow,Passionate,Relaxed,Restrained,Sensual,Soft/Quiet,Yearning","3,6,6,6,7,7,7,8,8,8",Pop/Rock,9,"New Love,Romantic Evening,Seduction","6,7,7","Album Rock,American Trad Rock,Contemporary Pop/Rock,Rock & Roll","5,6,8,9","sensual,soft/quiet,yearning",pop/rock,"romantic evening,seduction",rock & roll,T6
MT0000642549,Q2,0.2224999999999999,0.58,"Aggressive,Angry,Anguished/Distraught,Brash,Bravado,Cathartic,Confident,Confrontational,Dramatic,Earnest,Energetic,Fiery,Gutsy,Knotty,Passionate,Rebellious,Rowdy,Self-Conscious,Street-Smart,Summery,Swaggering,Urgent,Volatile","5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,9,9,9,9",Pop/Rock,9,"Cool & Cocky,Freedom,Guys Night Out,Hanging Out,Summer","9,9,9,9,9","Hardcore Punk,Punk/New Wave,Straight-Edge","5,9,9","summery,swaggering,urgent,volatile",pop/rock,"cool & cocky,freedom,guys night out,hanging out,summer","punk/new wave,straight-edge",T2
MT0000643201,Q3,0.426875,0.380625,"Autumnal,Bittersweet,Brooding,Gloomy,Intimate,Literate,Melancholy,Nocturnal,Poignant,Reflective,Restrained,Rousing,Somber,Stylish","3,3,5,5,5,5,5,6,6,7,7,7,8,8",Pop/Rock,7,"Feeling Blue,Introspection,Late Night,Reflection","5,5,5,7","Alternative Pop/Rock,Alternative/Indie Rock,College Rock,Goth Rock,Post-Punk","3,3,6,7,7","somber,stylish",pop/rock,reflection,"goth rock,post-punk",T5
MT0000647818,Q4,0.6725,0.2975,"Bittersweet,Delicate,Dramatic,Earnest,Ethereal,Gentle,Intimate,Laid-Back/Mellow,Plaintive,Poignant,Reflective,Reverent,Sentimental,Smooth,Soothing,Sweet,Warm,Wistful","6,6,6,6,7,7,7,7,7,7,7,8,8,8,9,9,9,9","Country,Holiday","9,9","Christmas Party,Holidays,Introspection,Winter","8,9,9,9","Christmas,Contemporary Country,Country-Pop,Holidays,Neo-Traditionalist Country,New Traditionalist","6,7,8,9,9,9","soothing,sweet,warm,wistful","country,holiday","holidays,introspection,winter","holidays,neo-traditionalist country,new traditionalist","T4,T5"
MT0000661847,Q4,0.68375,0.255,"Elegant,Gentle,Intimate,Precious,Refined,Reflective,Relaxed,Reserved,Reverent,Sentimental,Smooth,Soft/Quiet,Somber,Soothing,Spiritual,Warm","5,5,5,6,7,7,7,7,8,8,8,8,8,9,9,9","Country,Holiday","5,9","Christmas Party,Family Gatherings,Holidays","9,9,9","Christmas,Contemporary Country,Holidays,New Traditionalist","5,5,9,9","soothing,spiritual,warm",holiday,"christmas party,family gatherings,holidays","holidays,new traditionalist",T4
MT0000664362,Q1,0.80625,0.6375,"Amiable/Good-Natured,Bravado,Celebratory,Earthy,Energetic,Exuberant,Freewheeling,Fun,Happy,Joyous,Lively,Passionate,Playful,Rollicking,Romantic,Sensual,Warm","7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8","Jazz,Vocal","9,9","Hanging Out,Late Night,Partying,Playful,Summer","7,7,7,8,8","Standards,Vocal Jazz","9,9","playful,rollicking,romantic,sensual,warm","jazz,vocal","playful,summer","standards,vocal jazz",T2
